ID_Tiempo,Fecha,Mes,Año,Trimestre
1,2022-03-26,12,2020,4
2,2021-09-26,11,2023,1
3,2023-06-15,12,2021,2
4,2023-11-09,4,2022,4
5,2021-05-16,5,2022,2
6,2022-06-04,12,2023,2
7,2022-08-20,11,2021,2
8,2024-07-05,12,2023,2
9,2022-09-28,4,2021,3
10,2023-03-26,10,2022,3
11,2022-10-25,11,2023,1
12,2024-04-09,12,2023,3
13,2022-07-29,3,2023,4
14,2023-11-11,3,2020,4
15,2022-11-20,1,2023,1
16,2024-04-16,4,2024,2
17,2021-10-24,2,2024,3
18,2020-11-16,12,2021,1
19,2024-09-28,6,2023,3
20,2021-03-19,7,2021,1
21,2022-12-01,8,2022,4
22,2023-02-27,6,2021,3
23,2021-10-26,5,2024,1
24,2021-01-31,12,2020,1
25,2021-05-24,5,2024,2
26,2022-05-02,8,2021,2
27,2021-10-25,7,2021,1
28,2023-10-18,12,2024,2
29,2022-10-20,11,2024,1
30,2022-08-14,11,2020,3
31,2022-08-03,6,2024,2
32,2023-07-03,9,2023,3
33,2021-11-03,1,2021,4
34,2022-05-21,7,2020,1
35,2023-03-11,5,2020,1
36,2024-01-02,12,2020,1
37,2022-03-07,11,2023,1
38,2022-02-18,4,2022,2
39,2024-07-18,5,2022,4
40,2021-03-11,11,2021,1
41,2024-04-14,5,2021,2
42,2022-06-19,2,2022,1
43,2023-03-30,7,2020,4
44,2022-02-02,1,2021,1
45,2022-09-13,8,2020,4
46,2023-08-20,4,2023,1
47,2024-05-30,2,2020,2
48,2021-03-15,4,2024,2
49,2022-08-06,12,2024,3
50,2022-04-01,4,2024,2
51,2023-06-18,4,2020,2
52,2022-08-28,4,2024,3
53,2022-11-26,9,2021,2
54,2023-11-10,5,2024,1
55,2023-02-12,8,2021,1
56,2022-03-20,7,2021,4
57,2022-09-08,1,2023,4
58,2023-11-13,9,2020,3
59,2021-02-18,7,2023,4
60,2021-09-10,2,2020,1
61,2022-10-11,12,2024,3
62,2022-07-26,11,2023,4
63,2022-06-06,6,2023,3
64,2022-08-06,2,2024,4
65,2024-05-23,2,2022,4
66,2023-08-23,4,2022,3
67,2024-01-05,10,2021,2
68,2021-03-22,5,2022,4
69,2022-06-26,12,2023,3
70,2022-04-20,7,2023,3
71,2024-05-21,3,2024,2
72,2022-05-02,1,2024,2
73,2023-06-22,7,2022,3
74,2023-02-09,6,2024,2
75,2024-03-28,5,2021,1
76,2023-03-06,4,2024,1
77,2023-05-29,9,2024,3
78,2023-07-24,12,2020,2
79,2021-09-11,11,2020,4
80,2022-11-01,5,2024,2
81,2022-09-13,12,2023,2
82,2022-11-11,11,2023,1
83,2023-12-16,4,2021,2
84,2020-11-26,5,2022,4
85,2022-04-06,8,2020,2
86,2023-04-28,10,2022,3
87,2024-04-20,5,2023,3
88,2024-01-02,1,2020,1
89,2023-08-11,8,2022,4
90,2021-12-02,10,2023,4
91,2021-12-24,6,2020,3
92,2024-03-19,11,2020,1
93,2024-06-15,10,2021,1
94,2022-06-07,1,2021,3
95,2021-01-28,12,2022,1
96,2021-02-04,2,2023,4
97,2022-11-07,5,2021,4
98,2024-05-06,1,2022,2
99,2022-08-27,2,2023,3
100,2021-12-18,12,2020,1
101,2022-04-28,3,2024,1
102,2023-02-01,2,2021,1
103,2023-07-27,7,2022,3
104,2022-04-10,10,2024,4
105,2021-11-07,4,2023,4
106,2021-03-28,8,2022,1
107,2023-08-01,6,2023,3
108,2021-01-01,8,2024,2
109,2024-08-10,9,2020,1
110,2023-11-10,12,2024,1
111,2023-11-20,4,2024,1
112,2021-02-16,7,2020,4
113,2023-01-29,7,2024,1
114,2022-10-26,3,2024,1
115,2024-03-20,2,2020,3
116,2020-10-19,2,2021,3
117,2023-11-03,4,2020,3
118,2023-12-26,12,2020,1
119,2022-06-13,1,2022,3
120,2023-12-15,4,2021,3
121,2024-02-19,4,2020,1
122,2021-07-02,9,2023,4
123,2024-04-12,6,2024,1
124,2024-07-04,7,2023,3
125,2022-04-24,6,2020,1
126,2024-02-22,5,2022,3
127,2021-03-24,3,2024,2
128,2024-03-24,11,2024,3
129,2021-12-21,5,2020,2
130,2024-01-20,9,2023,1
131,2024-01-30,10,2024,2
132,2021-07-22,5,2023,3
133,2021-03-14,1,2020,2
134,2021-07-07,6,2023,1
135,2022-10-08,4,2020,4
136,2022-07-05,5,2023,4
137,2021-04-20,4,2020,4
138,2024-04-02,8,2020,4
139,2023-12-14,3,2020,2
140,2022-01-08,7,2021,2
141,2022-07-26,5,2020,1
142,2021-09-13,2,2021,3
143,2023-01-31,7,2022,4
144,2023-02-23,5,2021,2
145,2021-01-29,2,2020,4
146,2023-03-27,7,2024,2
147,2022-09-04,7,2021,1
148,2022-06-30,5,2023,3
149,2024-01-24,2,2020,1
150,2022-04-05,1,2022,2
151,2022-03-18,10,2020,4
152,2024-03-28,8,2023,2
153,2021-02-09,1,2021,2
154,2023-05-26,9,2021,4
155,2024-06-20,3,2021,2
156,2022-02-21,11,2021,3
157,2024-03-13,3,2021,3
158,2021-08-18,7,2020,1
159,2022-07-03,6,2020,3
160,2021-12-20,9,2021,4
161,2023-07-01,12,2024,2
162,2021-10-03,8,2021,2
163,2020-11-12,8,2021,4
164,2024-08-07,6,2021,4
165,2022-04-28,1,2020,3
166,2023-03-01,10,2021,4
167,2022-05-09,5,2022,2
168,2023-08-06,9,2021,1
169,2021-03-30,1,2023,2
170,2023-05-13,5,2024,1
171,2021-08-06,7,2023,4
172,2022-08-01,7,2023,2
173,2021-06-08,1,2023,2
174,2021-10-28,1,2021,2
175,2023-05-11,12,2024,2
176,2022-03-04,2,2022,3
177,2022-03-10,8,2022,1
178,2021-08-19,10,2024,1
179,2023-06-13,4,2021,1
180,2024-01-20,7,2021,2
181,2024-01-02,7,2024,1
182,2021-05-02,1,2024,3
183,2023-12-22,9,2023,1
184,2024-09-19,7,2024,4
185,2021-01-15,10,2023,2
186,2023-08-09,6,2021,3
187,2023-06-30,12,2020,2
188,2024-06-02,4,2024,4
189,2024-01-11,2,2024,2
190,2023-02-19,12,2024,2
191,2023-01-28,6,2023,1
192,2022-12-25,2,2023,3
193,2024-10-05,3,2020,1
194,2022-09-05,6,2022,2
195,2024-07-16,11,2022,3
196,2021-03-23,1,2024,1
197,2024-07-28,9,2024,3
198,2023-05-30,3,2020,3
199,2022-03-05,3,2024,2
200,2020-10-11,4,2024,1
201,2021-10-02,6,2024,2
202,2022-10-17,2,2022,3
203,2023-05-27,4,2024,2
204,2023-06-13,3,2021,1
205,2020-10-08,6,2021,1
206,2024-04-10,5,2024,1
207,2022-04-23,1,2020,3
208,2022-10-17,4,2020,2
209,2023-10-18,10,2021,4
210,2020-12-15,6,2022,3
211,2023-09-05,10,2023,4
212,2020-12-18,3,2022,1
